accession,assembly,biological_replicates,file_format,file_size,output_type,status,url,organism,cell_line,target
ENCFF993RSW,hg19,"[1, 2]",bigWig,4559329119,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/17/50c3553a-4350-4c4f-8050-a91116f762b3/ENCFF993RSW.bigWig,human,HepG2,TBX3
ENCFF580GNN,hg19,"[2, 3]",bigWig,4488055864,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/02/4df46a12-1513-4873-abb1-0ccba16d9574/ENCFF580GNN.bigWig,human,HepG2,ZNF24
ENCFF342CAC,hg19,"[1, 2]",bigWig,4406701191,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/06/8e053f1b-06e7-4259-8d59-b9d9bf50c99a/ENCFF342CAC.bigWig,human,HEK293,eGFP-ZNF350
ENCFF172IQM,hg19,"[1, 2]",bigWig,4229181559,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/02/20/43e55fe0-ace0-43ca-9c19-5e292b0a9247/ENCFF172IQM.bigWig,human,MCF-7,ZFX
ENCFF285JUZ,hg19,"[1, 2]",bigWig,4203159773,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/01/27/d5e3920f-90fe-472f-bd63-3be52759d5e5/ENCFF285JUZ.bigWig,human,GM12878,FOXK2
ENCFF828EFM,hg19,"[1, 2]",bigWig,4183540503,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/06/89086df6-669e-4cae-8c75-9fcc7c11d71c/ENCFF828EFM.bigWig,human,HEK293,eGFP-ZNF174
ENCFF942IMP,hg19,"[1, 2]",bigWig,4172110183,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/17/e2f0f2a3-f9f3-49ad-9c2a-ac539f1119b1/ENCFF942IMP.bigWig,human,GM12878,IKZF2
ENCFF320VKN,hg19,"[1, 2]",bigWig,4069269344,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/09/d870a5d2-6ec4-4d9d-a963-a835e9c62dd2/ENCFF320VKN.bigWig,human,K562,RNF2
ENCFF474SAL,hg19,"[1, 2]",bigWig,4047090936,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/11/19/e918ca4e-a390-4401-b789-7868f8d0db36/ENCFF474SAL.bigWig,human,K562,NFIC
ENCFF341OHT,hg19,"[1, 2]",bigWig,4045799394,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/11/16/71dd011f-ff72-42f7-bc65-f0650021cd1c/ENCFF341OHT.bigWig,human,K562,THRAP3
ENCFF750FNO,hg19,"[1, 2]",bigWig,4017941244,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/11/19/bd90e4ab-01e4-44e3-aad2-b455e48f8d38/ENCFF750FNO.bigWig,human,K562,ARID1B
ENCFF558SFX,hg19,"[1, 2]",bigWig,2873823345,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/06/07/fa80ff99-1d80-41d7-93f9-e7ad739c5502/ENCFF558SFX.bigWig,human,HepG2,TCF12
ENCFF932XMO,hg19,"[1, 2]",bigWig,2851432185,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/541959e3-cb2b-43f6-8605-3f04d07869d6/ENCFF932XMO.bigWig,human,K562,MGA
ENCFF830CCF,hg19,"[1, 2]",bigWig,2845930363,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/06/07/158316bb-0098-4d54-a6a4-9edbc336b4e9/ENCFF830CCF.bigWig,human,HepG2,MNT
ENCFF734YKJ,hg19,"[1, 2]",bigWig,2833944338,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/53d8656b-de96-461e-bc3b-b41a9f195887/ENCFF734YKJ.bigWig,human,K562,KDM1A
ENCFF072HSO,hg19,"[1, 2]",bigWig,2818680328,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/16/52806db9-dcdf-49b9-9eb4-2ea681d69158/ENCFF072HSO.bigWig,human,HEK293,eGFP-ZNF776
