accession,assembly,biological_replicates,file_format,file_size,output_type,status,url,organism,cell_line,target
ENCFF864SZK,hg19,"[1, 2]",bigWig,1597985239,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/11/04/e70fbf19-679d-4075-b360-e24f1ae61725/ENCFF864SZK.bigWig,human,SU-DHL-6,H2AFZ
ENCFF207EAV,hg19,"[1, 2]",bigWig,1973325212,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/47570b3f-45db-4c38-9cbd-43c6de9414ef/ENCFF207EAV.bigWig,human,HEK293,ZNF704
ENCFF573GDY,hg19,"[1, 2]",bigWig,789534145,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/08/75686585-64e1-4dc5-9b0e-9351433d4880/ENCFF573GDY.bigWig,human,HepG2,ELF1
ENCFF474GXU,hg19,"[1, 2]",bigWig,2147248117,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/01/06/57463de9-6f69-4cca-b979-f16017d2e6f6/ENCFF474GXU.bigWig,human,SU-DHL-6,H3K36me3
ENCFF289DRY,hg19,"[1, 2]",bigWig,521063072,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/05/15/9a502e6c-c8b9-4c93-ad0e-65053dfd2120/ENCFF289DRY.bigWig,human,IMR-90,H3K79me1
ENCFF626AUN,hg19,"[1, 2]",bigWig,2268475408,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/01/1b1a4f96-1766-4288-b971-999ef6d8d5f0/ENCFF626AUN.bigWig,human,HepG2,PLRG1
ENCFF225FBZ,hg19,"[1, 2]",bigWig,584443774,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/09/63bc1eaf-28c9-4eea-8398-230ae7583e2d/ENCFF225FBZ.bigWig,human,Panc1,TCF7L2
ENCFF963SBX,hg19,"[1, 3]",bigWig,1040302117,fold change over control,released,https://encode-public.s3.amazonaws.com/2015/11/03/1e2a0aeb-1b65-4a65-abe9-688c60e7b863/ENCFF963SBX.bigWig,human,K562,ZHX1
ENCFF039WGL,hg19,"[1, 2]",bigWig,916912788,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/11/15/5fbdf1cb-2fbe-40b3-b2af-4f1cd020a02e/ENCFF039WGL.bigWig,human,NT2/D1,ZNF274
ENCFF387ROQ,hg19,"[1, 2]",bigWig,781694495,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/02/09/6bfc6c47-33b5-48da-b198-7564866d013d/ENCFF387ROQ.bigWig,human,HepG2,KDM3A
ENCFF029MZM,hg19,"[1, 2]",bigWig,1191206201,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/04/23/f7158457-8aac-45d5-a5ca-d935a1065cf3/ENCFF029MZM.bigWig,human,K562,ZKSCAN8
ENCFF364KKZ,hg19,"[1, 2]",bigWig,2120479945,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/8e8ea5a0-6eb6-4a29-921b-92c1f98ff65e/ENCFF364KKZ.bigWig,human,HEK293,ZFHX2
ENCFF849JIL,hg19,"[1, 2]",bigWig,1974949361,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/6db8f4cb-1d31-4b79-ba02-6214dd6b0498/ENCFF849JIL.bigWig,human,HEK293,ZBTB48
ENCFF979SUZ,hg19,"[1, 2]",bigWig,607262116,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/10/16/204fc20b-ed2c-46fb-a679-933ee8e5619f/ENCFF979SUZ.bigWig,human,K562,IRF1
ENCFF283FPP,hg19,"[1, 2]",bigWig,2096909382,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/eb34ded9-53d4-45aa-9723-c005799d2943/ENCFF283FPP.bigWig,human,HEK293,ZNF274
