target,cell_line,assay_title,institute_name,string_biological_replicates,organism,term_id,title,accession,status,assay_term_name,replication_type,date_released,assembly,file_format,file_size,file_type,output_category,output_type,read_length,read_length_units,run_type,schema_version,encode_version,biological_replicates,technical_replicates,url
ADNP,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF290ZNR,released,ChIP-seq,isogenic,2020-07-08,GRCh38,bigWig,792289660,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/07/01/e77d845b-d335-453c-965e-fce8c50d4f9e/ENCFF290ZNR.bigWig
ADNP,K562,TF ChIP-seq,University of Chicago,"[1, 2]",human,EFO:0002067,"Kevin White, UChicago",ENCFF340UTP,released,ChIP-seq,isogenic,2016-06-13,GRCh38,bigWig,934868078,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2016/10/19/1cefeaad-e93d-4eaf-a9cb-0fa2c4d239b8/ENCFF340UTP.bigWig
AEBP2,HEK293,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0001182,"Michael Snyder, Stanford",ENCFF627OLR,released,ChIP-seq,isogenic,2016-10-07,GRCh38,bigWig,5206443001,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/08/07/d63e8815-58d2-481c-bb70-81f5fc648d26/ENCFF627OLR.bigWig
AFF1,K562,TF ChIP-seq,Stanford University,"[1, 2]",human,EFO:0002067,"Michael Snyder, Stanford",ENCFF003ZRP,released,ChIP-seq,isogenic,2018-01-26,GRCh38,bigWig,1974780201,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/11/28/15c167e7-6868-4838-97c0-822773b81dee/ENCFF003ZRP.bigWig
AFF4,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF274ASN,released,ChIP-seq,isogenic,2020-07-09,GRCh38,bigWig,1369140045,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/07/02/b9ce0bc1-dad7-4cd1-a3a4-9dbf5c9a4fe6/ENCFF274ASN.bigWig
AGO1,HepG2,TF ChIP-seq,University of California at San Diego,"[1, 2]",human,EFO:0001187,"Xiang-Dong Fu, UCSD",ENCFF699ZZE,released,ChIP-seq,isogenic,2017-12-01,GRCh38,bigWig,767794927,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/12/03/00eb7914-e718-4790-a84e-da658108bcae/ENCFF699ZZE.bigWig
AGO1,K562,TF ChIP-seq,University of California at San Diego,"[1, 2]",human,EFO:0002067,"Xiang-Dong Fu, UCSD",ENCFF849NJM,released,ChIP-seq,isogenic,2017-02-27,GRCh38,bigWig,721613312,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2017/02/11/937e9305-1501-4a81-bf4f-0adbe80fa560/ENCFF849NJM.bigWig
AGO2,HepG2,TF ChIP-seq,University of California at San Diego,"[1, 2]",human,EFO:0001187,"Xiang-Dong Fu, UCSD",ENCFF808CTN,released,ChIP-seq,isogenic,2017-12-01,GRCh38,bigWig,844888643,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2017/02/11/54a75a5f-04ec-4fe0-a8c1-a4660142c88f/ENCFF808CTN.bigWig
AHDC1,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF536PPX,released,ChIP-seq,isogenic,2020-08-28,GRCh38,bigWig,883187956,bigWig,signal,fold change over control,,,,26,4.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2020/08/22/6358de62-2575-4bc0-ba9d-1c19e2271b3b/ENCFF536PPX.bigWig
AHR,HepG2,TF ChIP-seq,HudsonAlpha Institute for Biotechnology,"[1, 2]",human,EFO:0001187,"Richard Myers, HAIB",ENCFF916DXW,released,ChIP-seq,isogenic,2018-02-10,GRCh38,bigWig,921866991,bigWig,signal,fold change over control,,,,26,3.0,"[1, 2]","['1_1', '2_1']",https://encode-public.s3.amazonaws.com/2018/02/09/db1142b5-18da-4524-8f16-91c1347defd4/ENCFF916DXW.bigWig
