,accession,assembly,biological_replicates,file_format,file_size,output_type,status,url,organism,cell_line,target
0,ENCFF134GIR,GRCh38,"[1, 2]",bigWig,1540214655,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/11/01/9f6952e4-ec8c-4abb-ad19-7064082352d2/ENCFF134GIR.bigWig,human,SU-DHL-6,H2AFZ
1,ENCFF864SZK,hg19,"[1, 2]",bigWig,1597985239,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/11/04/e70fbf19-679d-4075-b360-e24f1ae61725/ENCFF864SZK.bigWig,human,SU-DHL-6,H2AFZ
0,ENCFF787GTX,GRCh38,"[1, 2]",bigWig,792868880,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/06/fe4b5407-daec-46ed-abc8-a2b2e8a901ac/ENCFF787GTX.bigWig,human,OCI-LY7,H3K27ac
1,ENCFF537NFH,hg19,[1],bigWig,389634722,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/06/5b5e6788-2955-419f-8cc6-a79a867eb385/ENCFF537NFH.bigWig,human,OCI-LY7,H3K27ac
0,ENCFF455RSI,hg19,[2],bigWig,231935478,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/07/20/7fc950f7-64b4-4fa9-9856-f9877d44f74d/ENCFF455RSI.bigWig,human,GM12878,MAX
1,ENCFF188TJV,hg19,[1],bigWig,264760980,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/07/20/43445507-66ba-4931-b38c-edb71dd817e2/ENCFF188TJV.bigWig,human,GM12878,MAX
0,ENCFF734WRO,hg19,[2],bigWig,396045985,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/01/30/f00480a4-d2a1-47f7-9031-6575d3419762/ENCFF734WRO.bigWig,human,HUES6,H3K4me3
0,ENCFF716KZB,hg19,[1],bigWig,822584618,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/07/26/847be1be-f5f9-406f-962e-201500fa8cfa/ENCFF716KZB.bigWig,human,OCI-LY7,EZH2phosphoT487
0,ENCFF339JUE,hg19,[1],bigWig,1436482943,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/b83d4bce-f69c-46e5-8381-111a3dc84024/ENCFF339JUE.bigWig,human,HEK293,ZNF843
0,ENCFF992NVH,GRCh38,[1],bigWig,1479730278,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/c4a37f43-a974-47ea-ae5e-bb38f35cfba4/ENCFF992NVH.bigWig,human,HEK293,ZNF416
0,ENCFF036JHJ,hg19,[1],bigWig,625262504,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/14/92b9857e-c7b3-4ec6-aee0-844d1212d3ac/ENCFF036JHJ.bigWig,human,K562,CBX3
1,ENCFF680KQO,hg19,[2],bigWig,589041900,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/14/1d2cac63-e15e-41cd-abfa-347e7b9a26ee/ENCFF680KQO.bigWig,human,K562,CBX3
2,ENCFF399FJD,GRCh38,[1],bigWig,627839816,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/14/3ac7caa7-4a80-4633-b31a-2b72a18c6509/ENCFF399FJD.bigWig,human,K562,CBX3
0,ENCFF448TMI,hg19,[2],bigWig,304178484,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/07/14/e736a2b9-6c92-4918-93f4-031552a7865a/ENCFF448TMI.bigWig,human,GM12878,NRF1
0,ENCFF045UGB,GRCh38,[2],bigWig,150399813,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/08/23/84b741d4-5002-4e4d-93e7-95b1ac2d85f1/ENCFF045UGB.bigWig,human,HeLa-S3,H3K4me3
1,ENCFF509ECR,GRCh38,"[1, 2]",bigWig,293645978,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/08/23/65bc6303-9b12-4327-9b16-310ac66ddb72/ENCFF509ECR.bigWig,human,HeLa-S3,H3K4me3
2,ENCFF038KCY,hg19,[2],bigWig,150068836,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/04/05/1b36285f-9288-4fc9-a055-b4d0a43c4686/ENCFF038KCY.bigWig,human,HeLa-S3,H3K4me3
0,ENCFF921FLW,GRCh38,[2],bigWig,180836895,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/02/997aa8bf-a652-4875-8e5a-57d6d594522d/ENCFF921FLW.bigWig,human,IMR-90,H3K4me2
1,ENCFF434MQI,hg19,[2],bigWig,181804112,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/02/5e67fc47-5502-4d54-8bd7-4c777d795cbc/ENCFF434MQI.bigWig,human,IMR-90,H3K4me2
0,ENCFF453CVQ,hg19,[1],bigWig,1414554576,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/256d8be9-0025-47df-b5ed-76db097b2f27/ENCFF453CVQ.bigWig,human,HEK293,ZNF704
1,ENCFF761UIP,GRCh38,[1],bigWig,1409708124,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/6ecb3266-294c-4e58-86d7-b3cfb8db2504/ENCFF761UIP.bigWig,human,HEK293,ZNF704
2,ENCFF207EAV,hg19,"[1, 2]",bigWig,1973325212,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/47570b3f-45db-4c38-9cbd-43c6de9414ef/ENCFF207EAV.bigWig,human,HEK293,ZNF704
0,ENCFF221OMO,hg19,[1],bigWig,1493453127,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/70301a8c-3949-4b84-92b3-960737223dfe/ENCFF221OMO.bigWig,human,HEK293,YY2
0,ENCFF592MEJ,GRCh38,[1],bigWig,359857636,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/7d22299c-5e0c-4cf9-9bb9-ac79f8b8f44f/ENCFF592MEJ.bigWig,human,HepG2,ELF1
1,ENCFF938ZUJ,GRCh38,[2],bigWig,336694342,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/b70abb78-98c2-48ad-a9aa-a4c809414cf4/ENCFF938ZUJ.bigWig,human,HepG2,ELF1
2,ENCFF979PVN,GRCh38,"[1, 2]",bigWig,780746965,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/b83b5a86-ff83-4475-ad21-f7e56722d68c/ENCFF979PVN.bigWig,human,HepG2,ELF1
3,ENCFF573GDY,hg19,"[1, 2]",bigWig,789534145,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/08/75686585-64e1-4dc5-9b0e-9351433d4880/ENCFF573GDY.bigWig,human,HepG2,ELF1
0,ENCFF757GHV,GRCh38,[1],bigWig,409962065,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/07/12/3da3d834-c4da-4ba6-8a87-619ff4891a7b/ENCFF757GHV.bigWig,human,K562,TAL1
0,ENCFF503NQM,GRCh38,[1],bigWig,1485578454,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/01/06/e9038395-a076-47c1-bee6-6f6831ad8ac6/ENCFF503NQM.bigWig,human,SU-DHL-6,H3K36me3
1,ENCFF483KIN,GRCh38,[2],bigWig,1615872614,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/01/06/882d2db2-08aa-4735-9701-79c6557b0492/ENCFF483KIN.bigWig,human,SU-DHL-6,H3K36me3
2,ENCFF474GXU,hg19,"[1, 2]",bigWig,2147248117,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/01/06/57463de9-6f69-4cca-b979-f16017d2e6f6/ENCFF474GXU.bigWig,human,SU-DHL-6,H3K36me3
3,ENCFF795MUD,GRCh38,"[1, 2]",bigWig,2102892058,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/01/06/8a5bccd5-b93b-4b73-9975-26820648cae3/ENCFF795MUD.bigWig,human,SU-DHL-6,H3K36me3
0,ENCFF833AZM,hg19,[1],bigWig,1412030326,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/16/aee7f039-c793-4ff4-984d-de9c4cab589a/ENCFF833AZM.bigWig,human,HEK293,ZSCAN18
